0,0,640,960,0,baseImg,
320,279,320,116,18,unit_frame4,
0,510,320,116,18,unit_frame3,
0,625,640,188,0,skill_frame,
320,510,320,116,18,unit_frame5,
0,394,320,116,18,unit_frame2,
320,394,320,116,18,unit_frame6,
0,279,320,116,18,unit_frame1,
8,834,204,84,0,btn_edit,
218,633,401,33,24,skill_name,
21,678,599,33,24,skill_desc,
0,265,642,15,0,windowHeader,
0,813,642,15,0,windowFooter,
218,725,401,33,24,skill_name_friend,
21,772,599,33,24,skill_desc_friend,
419,177,105,83,0,btn_item,
528,177,105,83,0,btn_friend,
480,239,205,24,16,betaMsg,
221,834,204,84,0,btn_set1,
80,834,204,84,0,btn_set2,
428,834,204,84,0,btn_sphere,
352,834,204,84,0,btn_set3,
226,897,457,26,18,infoMsg,
302,897,457,26,18,infoMsg2,
