0,96,678,828,0,clip_area,
0,208,658,716,0,scroll_area,
0,0,640,960,0,baseImg,
0,189,644,231,0,list_frame_bg,
0,208,640,192,0,list_frame,
528,116,140,62,0,btn_help,
420,116,140,62,0,btn_home,
149,253,230,32,0,leader_bg,
170,255,200,28,18,leader_name,
156,216,284,28,24,guild_name,
150,314,460,32,0,point_bg,
160,316,170,28,18,point_label,
330,316,272,28,18,point,
160,255,60,28,18,leader_label,
382,253,230,32,0,member_bg,
492,255,111,28,18,member,
392,255,80,28,18,member_label,
630,210,10,710,0,scroll_bar,
149,284,230,32,0,approval_bg,
202,286,168,28,18,approval,
160,286,56,28,18,approval_label,
382,284,230,32,0,policy_bg,
482,286,120,28,18,policy,
392,286,60,28,18,policy_label,
152,348,83,42,0,bonus_btn,
152,348,83,42,0,bonus_btn_label,
24,243,120,120,0,emblem,
242,346,368,44,0,bonus_icon_bg,
292,353,32,32,0,bonus_icon_offset,
252,353,32,32,0,bonus_icon_base,
430,215,32,32,0,class_icon,
466,217,140,28,20,class,
154,248,450,10,0,frame_line,
