425,120+20,0,0,0,help_button,
320,800,0,0,30,create_button,
580,150+20,0,0,0,room_count_header,
580,185+20,0,0,20,room_count_label,
320,292+20,602,170,0,bg_highlight_frame,
25,295+20,590,160,0,frame,
40,320+20,0,0,30,difficulty_label,
260,322+20,0,0,0,joined_header,
380,320+20,0,0,25,occupancy_header,
35,340+20,570,1,0,line,
35,345+20,100,100,0,unit_icon,
140,360+20,0,0,22,creator_header,
140,390+20,0,0,22,squad_cost_header,
350,390+20,0,0,0,guardian_header,
460,380+20,70,70,0,guardian_1_icon,
530,380+20,70,70,0,guardian_2_icon,
0,295+20,705,475-10,0,clip_area,
0,295+20,670,475-10,0,scroll_area,
615,295+20,10,475-10,30,scroll_bar,
0,166+20,0,0,0,window_top,
0,770,0,0,0,window_bottom,
0,226+20,640,550-10,0,window_background,
320,276+20,0,0,0,header_label,
30,295+20,580,2,0,window_line,
