382,392,136,276,0,reel_image_3
252,392,136,276,0,reel_image_2
122,392,136,276,0,reel_image_1
0,0,77,79,0,slot_bg
0,806,640,40,0,footer_ticker
7,194,626,612,0,slot_machine
273,683,94,100,0,start_btn
282,711,76,45,0,start_label
160,648,85,40,32,medal_count
304,279,32,32,0,slot_bright
475,177,140,62,0,slot_help
475,177,140,62,0,slot_help_label
398,574,98,98,0,slot_insert_medal
381,656,186,126,0,seq_base
418,693,124,80,0,seq_btn
461,705,45,40,32,seq_count
75,656,186,126,0,free_base
75,656,186,126,0,free_btn
150,555,186,126,0,video_ads_timer
165,663,186,20,0,video_ads_left_count
110,643,45,45,0,video_ads_timer_bullet
465,325,186,126,0,video_ads_claim_btn
103,353,186,126,0,video_ads_bonus_progress_bar
382,392,136,276,0,reel_image_6
252,392,136,276,0,reel_image_5
122,392,136,276,0,reel_image_4
