305,300,580,120,0,m_frame,
5,320,100,100,0,m_icon,
20,323,0,0,15,m_header_date,
20,410,0,0,15,m_header_date_expiry,
140,334,0,0,25,m_mystery_name,
140,384,300,0,20,m_mystery_detail,
140,584,0,0,20,m_mystery_empty,
505,340,0,0,0,m_mystery_claim,
590,394,0,0,25,m_lv,
150,412,380,1,0,m_line,
170,330+100+20,0,0,0,m_item_icon1,
190,328+100+20,0,0,22,m_item_name1,
400,330+100+20,0,0,0,m_item_icon2,
420,328+100+20,0,0,22,m_item_name2,
0,300,705,430-20,0,clip_area,
0,300,670,430-20,0,scroll_area,
612,300,10,430-20,0,scroll_bar,
155,333+100+20,0,0,0,m_feskill,
