0,255,655,2565+370+751+685+200+90+110+78+750+20+200+100+285,0,option_area
0,0,640,960,0,detail_frame
0,808,640,38,0,footer_ticker
628,255,10,551,18,scroll_bar
0,149,734,100,0,header_mask_area
0,254,705,553,0,clip_area
0,255,670,551,0,scroll_area

15,253,600,363,0,sound_option_frame_area
79,380,470,40,32,bgm_volume_cap
79,486,470,40,32,se_volume_cap
49,396,543,78,0,bgm_touch_area
49,502,543,78,0,se_touch_area
79,422,483,37,0,bgm_slider
79,527,483,37,0,se_slider
41,276,600,48,40,sound_option_title
41,324,561,32,24,sound_option_text

15,623,600,250,0,gfx_option_frame_area
41,646,600,48,40,gfx_option_title
41,705,561,232,24,gfx_option_text
79,396+363,200,80,0,gfx_low_btn
362,396+363,200,80,0,gfx_high_btn

15,623,600,250,0,lang_option_frame_area
41,646,360,48,40,lang_option_title
41,670,561,98,24,lang_option_text
410,646,200,60,30,lang_option_selected_lang
213,755,204,84,24,lang_option_btn
260,795,40,40,40,lang_option_btn_text

15,880,600,850+120+100,0,game_option_frame_area
41,903,600,48,40,game_option_title
41,951,550,98,24,game_option_text

79,1051+5+225-257,480,41,32,bb_cutin_disp_cap,
79,1095+5+225-257,200,80,0,bb_cutin_disp_on_btn,
362,1095+5+225-257,200,80,0,bb_cutin_disp_off_btn,

79,1050+5+100,480,40,32,skill_disp_cap
79,1090+5+100,200,80,0,skill_disp_on_btn
362,1090+5+100,200,80,0,skill_disp_off_btn
79,1185+5+100,480,40,32,battle_effect_cap
79,1225+5+100,200,80,0,battle_effect_on_btn
362,1225+5+100,200,80,0,battle_effect_off_btn
79,1320+5+100,480,40,32,bg_effect_cap
79,1360+5+100,200,80,0,bg_effect_on_btn
362,1360+5+100,200,80,0,bg_effect_off_btn

79,1485+5+100,561,32,32,bg_item_text
419,1475+5+100,130,42,0,bg_item_textbox
79,1530+5+100,483,37,0,bg_item_slider
49,1500+5+100,543,78,0,bg_item_touch_area

73,1440+150+100,480,41,32,draw_spark_cap,
73,1485+150+100,483,37,0,spark_draw_slider,
43,1460+150+100,543,78,0,spark_draw_touch_area,

73,1595+100+100,480,40,32,infodraw_cap
73,1637+100+100,200,80,0,infodraw_on_btn
