0,0,640,960,0,baseImg,
0,185,204,84,0,deck1,
190,185,204,84,0,deck2,
380,185,204,84,0,deck3,
320,247,320,116,18,unit_frame4,
0,510-32,320,116,18,unit_frame3,
0,625-32,640,188,0,skill_frame,
320,510-32,320,116,18,unit_frame5,
0,394-32,320,116,18,unit_frame2,
320,394-32,320,116,18,unit_frame6,
0,279-32,320,116,18,unit_frame1,
8,834-32,204,84,0,btn_edit,
290,810,350,18,20,phase_timer,
270,810,110,60,20,phase_timer_label,
58,834,204,84,0,btn_rest,
30,810,204,84,0,btn_left,
218,633-32,401,33,24,skill_name,
21,678-32,599,33,24,skill_desc,
0,195,642,50,0,windowHeader,
0,813-32,642,65,0,windowFooter,
218,725-32,401,33,24,skill_name_friend,
21,772-32,599,33,24,skill_desc_friend,
419,177-32,105,83,0,btn_item,
528,177-32,105,83,0,btn_friend,
480,239-32,205,24,16,betaMsg,
220,834-32,204,84,0,btn_set1,
221,834-32,204,84,0,btn_set2,
321,834-32,204,84,0,btn_set3,
80,834-32,204,84,0,btn_set2,
428,834-32,204,84,0,btn_sphere,
600,810,44,84,0,btn_right,
370,834,204,84,0,btn_activate,
228,834,204,84,0,btn_revive,
352,834-32,204,84,0,btn_set3,
226,897,457,26,18,infoMsg,
302,897,457,26,18,infoMsg2,
