21,277,280,600,0,navi_char,
0,0,640,960,0,baseImg,
16,239,610,539,0,challengeWindowC,
45,239,629,528,0,scroll_area,
0,738,640,112,0,challengeWindowD,
41,823,129,64,0,before_btn,
43,795,554,32,24,page_label,
595,251,10,500,0,scroll_bar,
28,240,586,150,0,info_frame,
67,263,102,102,0,info_thum,
183,267,310,32,24,info_name,
466,265,36,36,0,timer_img,
508,267,96,32,24,time,
183,301,94,32,24,info_type,
276,301,294,32,24,type_name,
183,333,403,32,24,info_comment,
0,222,640,32,0,challengeWindowT,
33,187,192,48,0,btn_member,
224,187,192,48,0,btn_select,
414,187,192,48,0,btn_editing,
67,263,102,102,0,quest_clear_img,
