0,50,640,875,0,mask,

25,295+30,590,125,0,item_frame,
100,390,0,0,0,item_thumbnail,
190,385,0,0,27,item_name,
190,420,0,0,27,item_count,
570,420,0,0,27,item_cost,
50,450,540,1,0,line,
320,390,0,0,0,item_soldout,

0,208+45,642,81,0,tab_base,
34,208+45,182,73,0,item_tab,
226,272+45,208,112,0,get_mark,
230,208+45,182,73,0,item_tab2,
426,208+45,182,73,0,item_tab3,

525,210,0,0,0,token_bg,
452,210,0,0,0,token_icon,
615,208,0,0,30,token_label,

0,345-10,705,430+40,0,clip_area,
0,345-10,670,430+40,0,scroll_area,
612,345-10,10,430+40,0,scroll_bar,
25+22,295+45,590,125,0,summon_item_frame,
