20,85,328,80,0,back_btn,
0,285,328,80,32,title_label,
41,378,153,70,32,title_only_invitate,
218,360,153,60,0,btn_only_invitate_on,
395,360,153,60,0,btn_only_invitate_off,
41,375,153,70,32,title_invite_limit,
218,360,153,60,0,btn_invite_limit_off,
395,360,153,60,0,btn_invite_limit_on,
382,500,153,60,0,btn_decide,
528,45,105,83,0,setting_btn,
528,45,123,83,0,help_btn,
28,616,200,40,0,item_typePL,
275,593,339,80,0,select_btnPL,
298,617,292,33,24,select_btn_labelPL,
275,678,339,80,0,select_btnRA,
28,701,200,40,0,item_typeRA,
