30,180,580,660,0,main_window,
30,180+5,580,680,0,main_window_gem_notice,
230,755,0,580,0,close_btn,
320,760+5,0,960,0,claim_btn_gem_notice,
0,0,640,960,0,background_mask,
0,210,640,30,40,title,
0,254+5,640,30,18,subtitle,
195,375+5,75,75,0,treasure_chest,
80,275+5,480,10,18,separate_bar1,
40,290+5,540,400,0,clip_area,
40,310+5,540,400,0,scroll_area,
572,310+5,10,400,0,scroll_bar,
40,310+5,100,100,18,m_icon,
150,320+7,0,0,25,m_reward_name,
150,350+12,300,0,20,m_reward_detail,
120,705+5,400,15,20,rarity_indicator,
80,730,480,10,18,separate_bar2,
43,452+5,560,10,0,separate_bar_footer,
140,650+5,350,25,25,count_down_txt,
