0,0,640,960,0,town_bg,
6,7,77,79,0,back_btn,
403-23,478,237+30,85,0,facility_summon,
319-23,193,237+27,85,0,facility_challenge,
326-16,203,235,30,20,facility_challenge_label1,
326-16,235,235,30,20,facility_challenge_label2,
412-18,489,235,30,20,facility_summon_label1,
412-18,521,235,30,20,facility_summon_label2,
0,331,277,53,0,facility_trial,
9,339,260,30,20,facility_trial_label,
115,466,204,53,0,facility_sphere,
124,474,187,30,20,facility_sphere_label,
171,685,204,85,0,facility_mix,
178,695,187,30,20,facility_mix_label1,
178,727,187,30,20,facility_mix_label2,
40,190,265,53,0,facility_library,
49,198,260,30,20,facility_library_label,
