0,146,670,808,0,scroll_area,
0,37,734,100,0,header_mask_area,
0,0,702,974,0,clip_area,
0,146,656,468,0,option_area,
0,0,640,960,0,detail_frame,
15,144,600,449,0,base_frame_area,
628,146,10,793,18,scroll_bar,
79,819,480,41,32,battle_effect_cap,
73,1224,480,41,32,auto_bb_cap,
222,832,188,64,0,enemy_btn_5,
26,242,70,28,14,elem_cap,
26,286,70,28,14,hp_cap,
26,322,70,28,14,def_cap,
26,365,70,28,14,heal_cap,
26,408,70,28,14,resurrection_cap,
26,451,70,28,14,bchc_cap,
26,490,70,28,14,crt_cap,
26,531,70,28,14,weak_cap,
200,157,256,28,20,title,
96,193,84,28,16,enemy1,
181,193,84,28,16,enemy2,
265,193,84,28,16,enemy3,
349,193,84,28,16,enemy4,
435,193,84,28,16,enemy5,
521,193,84,28,16,enemy6,
73,614,77,79,0,enemy_all_set,
369,614,77,79,0,enemy_all_off,
17,832,188,64,0,enemy_btn_4,
425,728,188,64,0,enemy_btn_3,
222,728,188,64,0,enemy_btn_2,
17,728,188,64,0,enemy_btn_1,
425,832,188,64,0,enemy_btn_6,
93,195,10,364,0,line1,
179,195,10,364,0,line2,
263,195,12,364,0,line3,
433,195,10,364,0,line5,
347,195,10,364,0,line4,
519,195,10,364,0,line6,
93,227,504,10,0,beside_line,
110,205,56,28,16,enemy_num1,
198,205,56,28,16,enemy_num2,
279,205,56,28,16,enemy_num3,
365,205,56,28,16,enemy_num4,
449,205,56,28,16,enemy_num5,
535,205,56,28,16,enemy_num6,
